sampledate,depth,o2,deck,light,frlight,avsnow,totice,whiteice,extcoef
12/2/81,15,12.8,,0.1,,,,,
12/2/81,16,12.9,,0.1,,,,,
12/2/81,17,13,,0,,,,,
12/2/81,18,13.1,,,,,,,
12/2/81,19,13.1,,,,,,,
1/20/82,0,11.4,,,,4.3,43,22.5,
1/20/82,1,12,,,,,,,
1/20/82,2,11.7,,,,,,,
1/20/82,3,11.9,,,,,,,
1/20/82,4,11.9,,,,,,,
1/20/82,5,12.1,,,,,,,
1/20/82,6,12.4,,,,,,,
1/20/82,7,12.5,,,,,,,
1/20/82,8,12.5,,,,,,,
1/20/82,9,12.6,,,,,,,
1/20/82,10,12.5,,,,,,,
1/20/82,11,12.4,,,,,,,
1/20/82,12,12.1,,,,,,,
1/20/82,13,11.9,,,,,,,
1/20/82,14,11.5,,,,,,,
1/20/82,15,10.1,,,,,,,
1/20/82,16,6.9,,,,,,,
1/20/82,17,3.8,,,,,,,
1/20/82,18,0.1,,,,13.4,49.2,29.3,
2/24/82,0,,,,,,,,
2/24/82,1,11.3,,,,,,,
2/24/82,2,10.4,,,,,,,
2/24/82,3,10.3,,,,,,,
2/24/82,4,10.3,,,,,,,
2/24/82,5,10.1,,,,,,,
2/24/82,6,10.1,,,,,,,
2/24/82,7,9.9,,,,,,,
2/24/82,8,9.8,,,,,,,
2/24/82,9,9.7,,,,,,,
2/24/82,10,9.5,,,,,,,
2/24/82,11,9.4,,,,,,,
2/24/82,12,9.1,,,,,,,
2/24/82,13,8.5,,,,,,,
2/24/82,14,7.4,,,,,,,
2/24/82,15,4.8,,,,,,,
2/24/82,16,2.6,,,,,,,
2/24/82,17,0.8,,,,,,,
4/5/82,0,13.4,,,,4,51,24.7,
4/5/82,1,12.2,,,,,,,
4/5/82,2,11.3,,,,,,,
4/5/82,3,9.3,,,,,,,
4/5/82,4,9.3,,,,,,,
4/5/82,5,9,,,,,,,
4/5/82,6,8.7,,,,,,,
4/5/82,7,8.8,,,,,,,
4/5/82,8,8.4,,,,,,,
4/5/82,9,8.2,,,,,,,
4/5/82,10,7.8,,,,,,,
4/5/82,11,7.6,,,,,,,
4/5/82,12,7.1,,,,,,,
4/5/82,13,6,,,,,,,
4/5/82,14,4.9,,,,,,,
4/5/82,15,2.4,,,,,,,
4/5/82,16,1.4,,,,,,,
4/5/82,17,0.4,,,,,,,
4/5/82,17.5,,,,,,,,
5/12/82,0,10.5,570,265,0.465,,,,
5/12/82,1,10.5,600,210,0.35,,,,
5/12/82,2,10.5,630,135,0.214,,,,
5/12/82,3,10.5,650,100,0.154,,,,
5/12/82,4,10.8,650,71,0.109,,,,
5/12/82,5,10.7,660,47,0.071,,,,
5/12/82,6,10.7,660,30,0.045,,,,
5/12/82,7,10.6,660,19,0.029,,,,
5/12/82,8,10.6,620,11,0.018,,,,
5/12/82,9,10.2,620,7.5,0.012,,,,
5/12/82,10,9.6,620,4.7,0.008,,,,
5/12/82,11,9.5,620,2.9,0.005,,,,
5/12/82,12,9.5,630,1.85,0.003,,,,
5/12/82,13,8.2,640,1.15,0.002,,,,
5/12/82,14,7.9,650,0.65,0.001,,,,
5/12/82,15,7.4,660,0.35,0.001,,,,
5/12/82,16,7.2,660,0.15,0,,,,
5/12/82,17,7.2,670,0.05,0,,,,
5/12/82,18,7.1,670,0,0,,,,
5/27/82,0,7.9,410,350,0.854,,,,
5/27/82,0.5,,,,,,,,
5/27/82,1,7.8,400,185,0.463,,,,
5/27/82,2,7.8,390,115,0.295,,,,
5/27/82,3,7.9,380,97,0.255,,,,
5/27/82,4,8.7,370,79,0.214,,,,
5/27/82,5,10.2,370,59,0.159,,,,
5/27/82,6,10.4,360,44,0.122,,,,
5/27/82,7,10.4,360,33,0.092,,,,
5/27/82,8,10.2,360,23.5,0.065,,,,
5/27/82,9,10,350,11.75,0.034,,,,
5/27/82,10,9.7,350,11.5,0.033,,,,
5/27/82,11,8.9,350,8.3,0.024,,,,
5/27/82,12,8,340,9.6,0.028,,,,
5/27/82,13,7.3,330,5.7,0.017,,,,
5/27/82,14,6.7,320,5.7,0.018,,,,
5/27/82,15,6.1,260,2,0.008,,,,
5/27/82,16,5.4,255,2.35,0.009,,,,
5/27/82,17,4.9,260,2.55,0.01,,,,
5/27/82,18,4.1,260,2.2,0.008,,,,
5/27/82,19,1.2,255,1.8,0.007,,,,
6/10/82,0,7.7,600,400,0.667,,,,
6/10/82,0.5,,,,,,,,
6/10/82,1,7.5,2150,900,0.419,,,,
6/10/82,2,7.3,2150,800,0.372,,,,
6/10/82,3,7.1,2100,600,0.286,,,,
6/10/82,4,7.1,2130,350,0.164,,,,
6/10/82,5,8.2,2150,280,0.13,,,,
6/10/82,6,9.5,2150,250,0.116,,,,
6/10/82,7,9.6,2250,200,0.089,,,,
6/10/82,8,9.9,2200,150,0.068,,,,
6/10/82,9,9.8,2250,120,0.053,,,,
6/10/82,10,8.8,2250,90,0.04,,,,
6/10/82,11,8.7,2250,66,0.029,,,,
6/10/82,12,7.8,2250,50,0.022,,,,
6/10/82,13,7.1,2250,28,0.012,,,,
6/10/82,14,7.1,2200,23,0.01,,,,
6/10/82,15,6.1,2400,11.5,0.005,,,,
6/10/82,16,5.9,2400,19,0.008,,,,
6/10/82,17,3.3,2400,2.8,0.001,,,,
6/10/82,18,2.2,800,0.8,0.001,,,,
6/23/82,0,,710,570,0.803,,,,
6/23/82,0.5,,,,,,,,
6/23/82,1,,705,375,0.532,,,,
6/23/82,2,,695,258,0.371,,,,
6/23/82,3,,680,207,0.304,,,,
6/23/82,4,,678,180,0.265,,,,
6/23/82,5,,645,140,0.217,,,,
6/23/82,6,,630,112,0.178,,,,
6/23/82,7,,647,87.3,0.135,,,,
6/23/82,8,,650,53,0.082,,,,
6/23/82,9,,665,56,0.084,,,,
6/23/82,10,,695,43,0.062,,,,
6/23/82,11,,695,34,0.049,,,,
6/23/82,12,,700,26,0.037,,,,
6/23/82,13,,715,20.7,0.029,,,,
6/23/82,14,,800,16.2,0.02,,,,
6/23/82,15,,960,10.2,0.011,,,,
6/23/82,16,,1050,6.9,0.007,,,,
6/23/82,17,,1030,3.9,0.004,,,,
6/23/82,18,,1000,2.63,0.003,,,,
7/8/82,0,,,,,,,,
7/8/82,0.5,,,,,,,,
7/8/82,1,,,,,,,,
7/8/82,2,,,,,,,,
7/8/82,3,,,,,,,,
7/8/82,4,,,,,,,,
7/8/82,5,,,,,,,,
7/8/82,6,,,,,,,,
7/8/82,7,,,,,,,,
7/8/82,8,,,,,,,,
7/8/82,9,,,,,,,,
7/8/82,10,,,,,,,,
7/8/82,11,,,,,,,,
7/8/82,12,,,,,,,,
7/8/82,13,,,,,,,,
7/8/82,14,,,,,,,,
7/8/82,15,,,,,,,,
7/8/82,16,,,,,,,,
7/8/82,17,,,,,,,,
7/8/82,18,,,,,,,,
7/20/82,0,9,,,,,,,
7/20/82,0.5,,,,,,,,
7/20/82,1,9,,,,,,,
7/20/82,2,9.1,,,,,,,
7/20/82,3,9.1,,,,,,,
7/20/82,4,9.1,,,,,,,
7/20/82,5,9.8,,,,,,,
7/20/82,6,11,,,,,,,
7/20/82,7,13.6,,,,,,,
7/20/82,8,13.6,,,,,,,
7/20/82,9,13.4,,,,,,,
7/20/82,10,13.4,,,,,,,
7/20/82,11,13.4,,,,,,,
7/20/82,12,13.6,,,,,,,
7/20/82,13,13.4,,,,,,,
7/20/82,14,10.8,,,,,,,
7/20/82,15,6.5,,,,,,,
7/20/82,16,1,,,,,,,
7/20/82,17,0,,,,,,,
7/20/82,18,0,,,,,,,
8/2/82,0,8.9,,,,,,,
8/2/82,0.5,,,,,,,,
8/2/82,1,8.9,,,,,,,
8/2/82,2,8.9,,,,,,,
8/2/82,3,8.9,,,,,,,
8/2/82,4,8.8,,,,,,,
8/2/82,5,8.8,,,,,,,
8/2/82,6,9.4,,,,,,,
8/2/82,7,13.2,,,,,,,
8/2/82,8,13.2,,,,,,,
8/2/82,9,13.2,,,,,,,
8/2/82,10,12.8,,,,,,,
8/2/82,11,12.4,,,,,,,
8/2/82,12,12.2,,,,,,,
8/2/82,13,12.2,,,,,,,
8/2/82,14,8.3,,,,,,,
8/2/82,15,2.5,,,,,,,
8/2/82,16,0.3,,,,,,,
8/2/82,17,0.2,,,,,,,
8/2/82,18,0.2,,,,,,,
8/17/82,0,,,1420,,,,,
8/17/82,1,,,960,,,,,
8/17/82,2,,,705,,,,,
8/17/82,3,,,560,,,,,
8/17/82,4,,,415,,,,,
8/17/82,5,,,327,,,,,
8/17/82,6,,,243,,,,,
8/17/82,7,,,182,,,,,
8/17/82,8,,,133,,,,,
8/17/82,9,,,96.3,,,,,
8/17/82,10,,,72.3,,,,,
8/17/82,11,,,53.3,,,,,
8/17/82,12,,,39,,,,,
8/17/82,13,,,26.9,,,,,
8/17/82,14,,,14.7,,,,,
8/17/82,15,,,6.82,,,,,
8/17/82,16,,,3.9,,,,,
8/17/82,17,,,2.28,,,,,
8/17/82,18,,,1.3,,,,,
9/9/82,0,9.1,1350,1050,0.778,,,,
9/9/82,1,9,1350,650,0.481,,,,
9/9/82,2,9,1250,480,0.384,,,,
9/9/82,3,9,1240,360,0.29,,,,
9/9/82,4,9,1230,285,0.232,,,,
9/9/82,5,9,1300,210,0.162,,,,
9/9/82,6,8.9,1190,152,0.128,,,,
9/9/82,7,8.9,1210,117,0.097,,,,
9/9/82,8,8.9,1270,88,0.069,,,,
9/9/82,9,11.6,1280,66.5,0.052,,,,
9/9/82,10,11.4,1230,50,0.041,,,,
9/9/82,11,10.9,1320,36.5,0.028,,,,
9/9/82,12,10.8,1320,24.7,0.019,,,,
9/9/82,13,10,1270,17.2,0.014,,,,
9/9/82,14,6.1,1270,11.7,0.009,,,,
9/9/82,15,0.6,1150,7.33,0.006,,,,
9/9/82,16,0.4,1220,4.03,0.003,,,,
9/9/82,17,0.3,1250,1.78,0.001,,,,
9/9/82,18,0.3,1300,0.5,0,,,,
9/20/82,0,8.7,,,,,,,
9/20/82,1,8.6,,,,,,,
9/20/82,2,8.6,,,,,,,
9/20/82,3,8.5,,,,,,,
9/20/82,4,8.5,,,,,,,
9/20/82,5,8.5,,,,,,,
9/20/82,6,8.5,,,,,,,
9/20/82,7,8.5,,,,,,,
9/20/82,8,8.4,,,,,,,
9/20/82,9,8.4,,,,,,,
9/20/82,10,8.4,,,,,,,
9/20/82,11,9.8,,,,,,,
9/20/82,12,9.6,,,,,,,
9/20/82,13,8.1,,,,,,,
9/20/82,14,3.8,,,,,,,
9/20/82,15,1.2,,,,,,,
9/20/82,16,0.2,,,,,,,
9/20/82,17,0.1,,,,,,,
9/20/82,18,0.1,,,,,,,
9/20/82,19,0,,,,,,,
10/7/82,0,10,270,190,0.704,,,,
10/7/82,1,9.8,295,105,0.356,,,,
10/7/82,2,9.7,285,68,0.239,,,,
10/7/82,3,9.7,255,48,0.188,,,,
10/7/82,4,9.6,240,38,0.158,,,,
10/7/82,5,9.5,270,39,0.144,,,,
10/7/82,6,9.5,650,71,0.109,,,,
10/7/82,7,9.5,700,35,0.05,,,,
10/7/82,8,9.4,830,43,0.052,,,,
10/7/82,9,9.4,960,27.5,0.029,,,,
10/7/82,10,9.3,510,13.5,0.026,,,,
10/7/82,11,9.2,450,10.5,0.023,,,,
10/7/82,12,9.1,500,9.3,0.019,,,,
10/7/82,13,8.5,570,7.7,0.014,,,,
10/7/82,14,6,610,5.8,0.01,,,,
10/7/82,15,0.2,640,3.8,0.006,,,,
10/7/82,16,0.1,610,1.65,0.003,,,,
10/7/82,17,0.1,480,0.55,0.001,,,,
10/7/82,18,0.1,490,0.2,0,,,,
10/19/82,0,9.5,98,68,0.694,,,,
10/19/82,1,9.5,93,36,0.387,,,,
10/19/82,2,9.5,93,23.7,0.255,,,,
10/19/82,3,9.5,94,19.8,0.211,,,,
10/19/82,4,9.4,98,15.3,0.156,,,,
10/19/82,5,9.4,94,12,0.128,,,,
10/19/82,6,9.4,93,8.9,0.096,,,,
10/19/82,7,9.4,90,6.7,0.074,,,,
10/19/82,8,9.4,88,4.8,0.055,,,,
10/19/82,9,9.3,86,3.55,0.041,,,,
10/19/82,10,9.3,86,2.8,0.033,,,,
10/19/82,11,9.3,92,2.15,0.023,,,,
10/19/82,12,9.2,94,1.65,0.018,,,,
10/19/82,13,6.8,87,1.18,0.014,,,,
10/19/82,14,4.1,86,0.88,0.01,,,,
10/19/82,15,0.1,87,0.62,0.007,,,,
10/19/82,16,0.1,88,0.32,0.004,,,,
10/19/82,17,0.1,90,0.08,0.001,,,,
10/19/82,18,0.1,90,0,0,,,,
11/10/82,0,9.8,58,41,0.707,,,,
11/10/82,1,9.8,50,11.6,0.232,,,,
11/10/82,2,9.7,52,10,0.192,,,,
11/10/82,3,9.6,51,6.7,0.131,,,,
11/10/82,4,9.6,54,5.25,0.097,,,,
11/10/82,5,9.6,54,3.6,0.067,,,,
11/10/82,6,9.5,55,2.55,0.046,,,,
11/10/82,7,9.5,57,1.71,0.03,,,,
11/10/82,8,9.5,57,1.3,0.023,,,,
11/10/82,9,9.5,61,0.9,0.015,,,,
11/10/82,10,9.5,69,0.72,0.01,,,,
11/10/82,11,9.5,60,0.42,0.007,,,,
11/10/82,12,9.4,57,0.27,0.005,,,,
11/10/82,13,9.4,55,0.18,0.003,,,,
11/10/82,14,9.4,55,0.07,0.001,,,,
11/10/82,15,9.4,50,0.02,0,,,,
11/10/82,16,9.3,48,0,0,,,,
11/10/82,17,9.3,,,,,,,
11/10/82,18,9.3,,,,,,,
12/2/82,0,10.9,144,120,0.833,,,,
12/2/82,1,10.9,156,43,0.276,,,,
12/2/82,2,10.9,132,20,0.152,,,,
12/2/82,3,10.9,118,14.8,0.125,,,,
12/2/82,4,10.9,127,12.1,0.095,,,,
12/2/82,5,10.9,131,8.8,0.067,,,,
12/2/82,6,10.8,142,7.05,0.05,,,,
12/2/82,7,10.8,142,4.9,0.035,,,,
12/2/82,8,10.8,144,3.4,0.024,,,,
12/2/82,9,10.7,132,2.13,0.016,,,,
12/2/82,10,10.7,138,1.69,0.012,,,,
12/2/82,11,10.6,153,1.35,0.009,,,,
12/2/82,12,10.6,165,1.08,0.007,,,,
12/2/82,13,10.6,177,0.82,0.005,,,,
12/2/82,14,10.6,166,0.62,0.004,,,,
12/2/82,15,10.5,171,0.44,0.003,,,,
12/2/82,16,10.5,187,0.32,0.002,,,,
12/2/82,17,10.4,152,0.24,0.002,,,,
12/2/82,18,10.1,123,0.09,0.001,,,,
1/13/83,0,13.1,,,,24,27,1,
1/13/83,1,12,,,,,,,
1/13/83,2,11.4,,,,,,,
1/13/83,3,11.2,,,,,,,
1/13/83,3,,,,,,,,
1/13/83,4,11.2,,,,,,,
1/13/83,5,11.2,,,,,,,
1/13/83,6,11,,,,,,,
1/13/83,7,10.9,,,,,,,
1/13/83,8,10.9,,,,,,,
1/13/83,9,10.9,,,,,,,
1/13/83,10,10.6,,,,,,,
1/13/83,11,10.8,,,,,,,
1/13/83,12,10.6,,,,,,,
1/13/83,13,10.4,,,,,,,
1/13/83,14,10,,,,,,,
1/13/83,15,9,,,,,,,
1/13/83,16,7.2,,,,,,,
1/13/83,17,5.6,,,,,,,
1/13/83,18,2,,,,,,,
2/24/83,0,11,,,,1,29,1,
2/24/83,1,10.9,,,,,,,
2/24/83,2,10.3,,,,,,,
2/24/83,3,10,,,,,,,
2/24/83,4,9.7,,,,,,,
2/24/83,5,9.6,,,,,,,
2/24/83,6,9.5,,,,,,,
2/24/83,7,9.4,,,,,,,
2/24/83,8,9.3,,,,,,,
2/24/83,9,9.1,,,,,,,
2/24/83,10,9,,,,,,,
2/24/83,11,8.6,,,,,,,
2/24/83,12,8.5,,,,,,,
2/24/83,13,8.2,,,,,,,
2/24/83,14,7.6,,,,,,,
2/24/83,15,6.3,,,,,,,
2/24/83,16,4.2,,,,,,,
2/24/83,17,4.1,,,,,,,
2/24/83,18,0.6,,,,,,,
3/28/83,0,,,,,9.5,39,8,
3/28/83,1,11.7,,,,,,,
3/28/83,2,10.4,,,,,,,
3/28/83,3,10.2,,,,,,,
3/28/83,4,10,,,,,,,
3/28/83,5,10,,,,,,,
3/28/83,6,9.9,,,,,,,
3/28/83,7,9.8,,,,,,,
3/28/83,8,9.4,,,,,,,
3/28/83,9,8.9,,,,,,,
3/28/83,10,8.5,,,,,,,
3/28/83,11,8.2,,,,,,,
3/28/83,12,8.2,,,,,,,
3/28/83,13,7.1,,,,,,,
3/28/83,14,5.6,,,,,,,
3/28/83,15,4.6,,,,,,,
3/28/83,16,3.1,,,,,,,
3/28/83,17,0.6,,,,,,,
3/28/83,18,0.2,,,,,,,
3/28/83,18,,,,,,,,
3/28/83,19,0,,,,,,,
5/11/83,0,11.1,1570,1350,0.86,,,,
5/11/83,1,11.2,1540,750,0.487,,,,
5/11/83,2,11.2,1540,440,0.286,,,,
5/11/83,3,11.2,1540,265,0.172,,,,
5/11/83,4,11.2,1540,168,0.109,,,,
5/11/83,5,11.1,1520,103,0.068,,,,
5/11/83,6,10.9,1520,67,0.044,,,,
5/11/83,7,10.9,1530,40,0.026,,,,
5/11/83,8,10.2,1530,25.2,0.016,,,,
5/11/83,9,9.7,1570,17.2,0.011,,,,
5/11/83,10,8.9,1560,10.7,0.007,,,,
5/11/83,11,8.7,1570,7.05,0.004,,,,
5/11/83,12,8.3,1570,4.4,0.003,,,,
5/11/83,12,,,,,,,,
5/11/83,13,8.1,1560,2.57,0.002,,,,
5/11/83,14,8,1590,1.64,0.001,,,,
5/11/83,15,7.9,1580,1,0.001,,,,
5/11/83,16,7.8,1580,0.64,0,,,,
5/11/83,17,7.8,1630,0.39,0,,,,
5/11/83,18,7.6,1620,0.24,0,,,,
5/25/83,0,11.1,1750,1575,0.9,,,,
5/25/83,1,11.2,1775,900,0.507,,,,
5/25/83,2,11.2,1800,400,0.222,,,,
5/25/83,3,11.3,1725,400,0.232,,,,
5/25/83,4,11.4,1725,195,0.113,,,,
5/25/83,5,11.3,1750,125,0.071,,,,
5/25/83,6,11.4,1800,110,0.061,,,,
5/25/83,7,12.1,1665,65,0.039,,,,
5/25/83,8,12,1750,39,0.022,,,,
5/25/83,9,11.6,1725,27.2,0.016,,,,
5/25/83,10,10,1750,20.05,0.011,,,,
5/25/83,11,8.2,1750,14.4,0.008,,,,
5/25/83,12,7.6,1750,9,0.005,,,,
5/25/83,13,7.3,1750,6.48,0.004,,,,
5/25/83,14,7.3,1750,4.35,0.002,,,,
5/25/83,15,7.3,1750,2.65,0.002,,,,
5/25/83,15,,,,,,,,
5/25/83,16,7,1725,1.7,0.001,,,,
5/25/83,17,6.7,1750,1.1,0.001,,,,
5/25/83,18,6.4,1750,0.7,0,,,,
5/25/83,19,6.2,1750,0.3,0,,,,
6/9/83,0,10,1680,1500,0.893,,,,
6/9/83,1,10.2,1690,1300,0.769,,,,
6/9/83,2,10.2,1710,550,0.322,,,,
6/9/83,3,10.2,1710,480,0.281,,,,
6/9/83,4,10.4,1710,370,0.216,,,,
6/9/83,5,10.6,1710,245,0.143,,,,
