lakeid,sampledate,depth,deck,light,avsnow,totice,whiteice,blueice,surflite
BM,1/15/98,0,NA,NA,20.9,31,5,26,NA
BM,1/15/99,0,262,0,8.6,38,2,36,0
BM,1/16/06,0,208,4.46,13.6,26,0,26,0.021442308
BM,1/16/08,0,320,5.27,10.2,36,10,26,0.01646875
BM,1/17/89,0,350,6.55,18.5,35.2,0,35.2,0.018714286
BM,1/17/07,0,745,28.21,3.8,28,6,22,0.037865772
BM,1/18/01,0,468,8.11,24.6,24,0,24,0.01732906
BM,1/18/10,0,313,13.59,3.7,32,16,16,0.04341853
BM,1/18/13,0,259,13.61,6.7,33,3,30,0.052548263
BM,1/18/17,0,NA,NA,15.2,35,4,31,NA
BM,1/21/09,0,NA,NA,20.2,43,10,33,NA
BM,1/21/09,0,NA,NA,20.2,43,10,33,NA
BM,1/21/15,0,507,4.59,23.9,28,1,27,0.009053254
BM,1/22/02,0,630,20.98,4.9,29,0,29,0.033301587
BM,1/22/16,0,385,10.73,13.2,18,0,18,0.02787013
BM,1/23/90,0,263,0.44,21.3,36,9.5,26.5,0.001673004
BM,1/24/00,0,957,2.52,20.2,39,2,37,0.002633229
BM,1/25/82,0,NA,NA,19.9,34.3,10,24.3,NA
BM,1/26/04,0,367,2.61,14.3,49,8,41,0.007111717
BM,1/30/03,0,256,6.27,7,64,0,64,0.024492188
BM,1/30/14,0,174,0.99,31,44,4,40,0.005689655
BM,2/7/96,0,220,0.27,17.6,62,29,33,0.001227273
BM,2/12/10,0,1216,32.16,8.6,46,17,29,0.026447368
BM,2/16/11,0,911,86.56,12.5,40,3,37,0.095016465
BM,2/16/11,0,NA,NA,12.5,40,3,37,NA
BM,2/17/83,0,NA,NA,19,40,11.1,28.9,NA
BM,2/19/98,0,814,119.4,2,44,17,27,0.146683047
BM,2/20/90,0,1282,7.04,9.9,51,17,34,0.00549142
BM,2/20/90,0,NA,NA,9.9,51,17,34,NA
BM,2/20/97,0,328,3.89,13,58,35,23,0.011859756
BM,2/20/12,0,740,14.06,15,45,8,37,0.019
BM,2/21/91,0,948,13.42,9.3,50,2,48,0.014156118
BM,2/21/95,0,661,6.58,12.1,55,5,50,0.009954614
BM,2/21/95,0,NA,NA,12.1,55,5,50,NA
BM,2/21/03,0,354,12.13,10.7,70,0,70,0.034265537
BM,2/21/06,0,1179,16.14,12.9,43,14,29,0.013689567
BM,2/21/17,0,NA,NA,0,42,6,36,NA
BM,2/22/93,0,703,10.56,8.2,49,15,34,0.015021337
BM,2/22/13,0,253,1.28,28.5,45,1,44,0.005059289
BM,2/22/13,0,NA,NA,28.5,45,1,44,NA
BM,2/23/84,0,NA,NA,NA,49,17,32,NA
BM,2/23/96,0,335,1.5,15.2,63,30,33,0.004477612
BM,2/23/00,0,99,0,24.8,43,6,37,0
BM,2/23/01,0,1159,6.94,20.6,42,7,35,0.005987921
