lakeid,sampledate,depth,deck,light,avsnow,totice,whiteice,blueice,surflite
BM,2/24/94,0,1076,494.3,1.4,42,0,42,0.459386617
BM,2/24/99,0,339,0,21.8,40,7,33,0
BM,2/24/05,0,1095,37.22,9.1,56,6,50,0.033990868
BM,2/24/09,0,872,32.61,4.1,57,7,50,0.037396789
BM,2/24/09,0,NA,NA,4.1,57,7,50,NA
BM,2/25/82,0,NA,NA,10,61,22,39,NA
BM,2/25/87,0,483,6.55,16.2,46,4,42,0.013561077
BM,2/25/87,0,NA,NA,16.2,46,4,42,NA
BM,2/25/92,0,296,1.06,23.3,45,17,28,0.003581081
BM,2/26/85,0,310,46,13.3,48,1,47,0.148387097
BM,2/26/85,0,NA,NA,13.3,48,1,47,NA
BM,2/26/86,0,225,0.35,26.2,54,29,25,0.001555556
BM,2/26/86,0,NA,NA,26.2,54,29,25,NA
BM,2/26/02,0,677,4.79,18.1,42,2,40,0.007075332
BM,2/26/08,0,580,6.6,18,57,17,40,0.01137931
BM,2/26/08,0,NA,NA,18,57,17,40,NA
BM,2/27/07,0,533,5.6,12.9,57,10,47,0.010506567
BM,2/28/89,0,845,3.4,20.7,62,15,47,0.004023669
BM,3/1/88,0,340,5.5,8.4,67,54,13,0.016176471
BM,3/2/04,0,NA,NA,21,61,19,42,NA
BM,3/3/15,0,744,3.81,10.2,62,18,44,0.005120968
BM,3/4/14,0,1620,5.7,23.3,59,26,33,0.003518519
BM,3/4/14,0,NA,NA,23.3,59,26,33,NA
BM,3/4/16,0,888,120.95,1,46,11,35,0.136204955
BM,3/4/16,0,NA,NA,1,46,11,35,NA
BM,3/16/09,0,1225,511.45,0,56,7,49,0.417510204
BM,3/19/98,0,1290,22.93,8.1,40,10,30,0.017775194
BM,3/19/98,0,NA,NA,8.1,40,10,30,NA
BM,3/22/11,0,271,67.9,0,52,5,47,0.250553506
BM,3/23/83,0,NA,NA,9.7,38,8,30,NA
BM,3/23/95,0,1131,488,0.7,45,2,43,0.431476569
BM,3/23/95,0,NA,NA,0.7,45,2,43,NA
BM,3/24/87,0,1010,735,0,38,38,0,0.727722772
BM,3/24/87,0,NA,NA,0,38,38,0,NA
BM,3/24/93,0,1460,106.1,5,59,18,41,0.072671233
BM,3/24/93,0,NA,NA,5,59,18,41,NA
BM,3/24/99,0,1570,119.7,0.5,57,17,40,0.076242038
BM,3/26/91,0,1365,639.5,0,51,4,47,0.468498168
BM,3/26/15,0,647,19.88,6.8,49,4,45,0.03072643
BM,3/27/85,0,490,252,0,53,6,47,0.514285714
BM,3/26/08,0,1210,6.87,21.3,53,13,40,0.005677686
BM,3/27/14,0,377,1.67,11,68,28,40,0.004429708
BM,3/27/92,0,1341,152.9,1.4,51,14,37,0.114019389
BM,3/27/92,0,NA,NA,1.4,51,14,37,NA
BM,3/28/17,0,NA,NA,0,44,2,42,NA
BM,3/29/90,0,NA,NA,0,43.5,7,36.5,NA
BM,3/29/13,0,1303,36.17,6.8,70,18,52,0.027759018
BM,3/30/94,0,1240,8.5,14.5,43,0,43,0.006854839
BM,3/30/07,0,328,204.48,0,35,0,35,0.623414634
BM,3/31/89,0,465,144,NA,65,13,52,0.309677419
BM,4/1/86,0,1340,250,3.2,37,13,24,0.186567164
BM,4/1/03,0,982,14.85,12.1,60,2,58,0.0151222
BM,4/2/97,0,1581,381.1,9.6,52,27,25,0.241049968
BM,4/4/05,0,858,593.08,0,54,4,50,0.691235431
BM,4/4/05,0,NA,NA,0,54,4,50,NA
BM,4/4/06,0,1464,615.1,0,41,13,28,0.420150273
BM,4/4/84,0,NA,NA,2,55,6,49,NA
BM,4/6/01,0,945,194.2,1,49,20,29,0.205502646
BM,4/5/04,0,1602,547.8,0,50,10,40,0.341947566
BM,4/7/82,0,NA,NA,3.7,55,13,42,NA
BM,4/6/88,0,1230,1000,0,60,0,60,0.81300813
BM,4/9/96,0,1487,8.22,26.2,75,37,38,0.005527909
BM,4/11/85,0,720,31,0,56,56,0,0.043055556
BM,4/16/02,0,1682,867,0,31,0,31,0.515457788
CB,1/5/84,0,NA,NA,12.3,22.1,15.7,6.4,NA
CB,1/5/84,0,NA,NA,12.3,22.1,15.7,6.4,NA
CB,1/9/12,0,331,3.57,5,25,14,11,0.010785498
CB,1/11/83,0,NA,NA,28.1,25.5,25.5,0,NA
CB,1/12/95,0,330,16.06,4.9,34,6,28,0.048666667
CB,1/12/05,0,165,2.45,6.1,35,22,13,0.014848485
CB,1/12/06,0,523,5.61,6,25,13,12,0.010726577
CB,1/13/86,0,393,0.49,20.4,32,17,15,0.001246819
CB,1/13/97,0,NA,NA,15.9,42,30,12,NA
CB,1/14/93,0,NA,NA,16.4,28,17,11,NA
CB,1/14/10,0,66,0.34,12.1,24,21,3,0.005151515
CB,1/14/10,0,NA,NA,12.1,24,21,3,NA
CB,1/15/85,0,196,4.1,10.1,28,6,22,0.020918367
CB,1/15/85,0,NA,NA,10.1,28,6,22,NA
CB,1/15/91,0,338,1.63,20.2,23,0,23,0.004822485
CB,1/15/91,0,NA,NA,20.2,23,0,23,NA
CB,1/15/92,0,752,3.15,14.4,29,5,24,0.00418883
CB,1/15/92,0,NA,NA,14.4,29,5,24,NA
CB,1/16/01,0,NA,NA,23.5,21,13,8,NA
CB,1/17/94,0,225,0,11.9,29,17,12,0
CB,1/17/94,0,NA,NA,11.9,29,17,12,NA
CB,1/17/96,0,NA,NA,27.2,31,31,0,NA
CB,1/17/96,0,NA,NA,27.2,31,31,0,NA
CB,1/17/17,0,NA,NA,17.9,24,16,8,NA
CB,1/18/82,0,NA,NA,13.9,28.2,19.2,9,NA
CB,1/18/90,0,364,1.49,8.5,26.5,20.5,6,0.004093407
CB,1/18/90,0,NA,NA,8.5,26.5,20.5,6,NA
CB,1/19/89,0,142,0.13,16.5,38.5,22,16.5,0.000915493
CB,1/19/99,0,530,0,15.2,26,0,26,0
CB,1/19/99,0,NA,NA,15.2,26,0,26,NA
CB,1/20/87,0,700,8.5,15,22,17,5,0.012142857
CB,1/20/87,0,NA,NA,15,22,17,5,NA
CB,1/20/88,0,NA,NA,23.1,24,20,4,NA
CB,1/20/88,0,NA,NA,23.1,24,20,4,NA
CB,1/20/98,0,481,0,20,27,6,21,0
CB,1/20/98,0,NA,NA,20,27,6,21,NA
CB,1/21/04,0,387,1.69,20.9,31,11,20,0.004366925
CB,1/21/04,0,NA,NA,20.9,31,11,20,NA
CB,1/22/02,0,475,12.64,9.9,20,14,6,0.026610526
CB,1/22/02,0,NA,NA,9.9,20,14,6,NA
CB,1/22/07,0,246,5.27,9,27,10,17,0.021422764
CB,1/22/09,0,NA,NA,17.9,33,17,16,NA
CB,1/22/09,0,NA,NA,17.9,33,17,16,NA
CB,1/23/15,0,252,0.3,18,28,13,15,0.001190476
CB,1/23/15,0,NA,NA,18,28,13,15,NA
CB,1/25/11,0,298,1.21,18.4,32.5,13,19.5,0.004060403
CB,1/25/16,0,248,1.34,16.5,22,8,14,0.005403226
CB,1/28/00,0,927,2.04,17,28,18,10,0.002200647
CB,1/28/00,0,NA,NA,17,28,18,10,NA
CB,1/28/08,0,325,1.04,14,33,15,18,0.0032
CB,1/28/08,0,NA,NA,14,33,15,18,NA
CB,1/28/13,0,296,0.65,22.4,30,7,23,0.002195946
CB,1/28/13,0,NA,NA,22.4,30,7,23,NA
CB,2/3/03,0,243,1.63,27.3,41,41,0,0.006707819
CB,2/3/14,0,NA,NA,23.4,47,29,18,NA
CB,2/3/14,0,NA,NA,23.4,47,29,18,NA
CB,2/15/95,0,500,0.58,18.4,41.5,6,35.5,0.00116
CB,2/15/95,0,NA,NA,18.4,41.5,6,35.5,NA
CB,2/17/97,0,498,0,20.4,49,41,8,0
CB,2/17/97,0,NA,NA,20.4,49,41,8,NA
CB,2/17/09,0,769,9.93,5,42,20,22,0.012912874
CB,2/17/11,0,208,6.22,6.6,41,16,25,0.029903846
CB,2/17/11,0,NA,NA,6.6,41,16,25,NA
CB,2/18/91,0,92,0.86,9.4,38,30,8,0.009347826
CB,2/18/91,0,NA,NA,9.4,38,30,8,NA
CB,2/18/13,0,290,0.54,18.6,46,18,28,0.001862069
CB,2/18/13,0,NA,NA,18.6,46,18,28,NA
CB,2/19/98,0,992,69.7,0.7,40,25,15,0.070262097
CB,2/19/98,0,NA,NA,0.7,40,25,15,NA
CB,2/20/84,0,NA,NA,9.1,37,21,16,NA
CB,2/20/84,0,NA,NA,9.1,37,21,16,NA
CB,2/20/96,0,NA,NA,19.2,45,40,5,NA
CB,2/20/03,0,698,4.52,16.2,43,5,38,0.006475645
CB,2/20/14,0,NA,NA,30.4,47,27,20,NA
CB,2/21/89,0,912,1.11,13.6,42.8,26,16.8,0.001217105
CB,2/21/89,0,NA,NA,13.6,42.8,26,16.8,NA
CB,2/21/07,0,1108,31.25,11,34,13,21,0.028203971
CB,2/22/82,0,NA,NA,6.7,43.4,17.5,25.9,NA
CB,2/22/02,0,1215,2.3,21.6,26,14,12,0.001893004
CB,2/22/10,0,NA,NA,15.3,36,23,13,NA
CB,2/22/12,0,104,0.21,13.4,35,24,11,0.002019231
CB,2/22/12,0,NA,NA,13.4,35,24,11,NA
CB,2/23/83,0,NA,NA,5,32.5,21,11.5,NA
CB,2/23/83,0,NA,NA,5,32.5,21,11.5,NA
CB,2/23/87,0,200,1.01,7.7,37,21,16,0.00505
CB,2/23/94,0,336,11.31,1,35,15,20,0.033660714
CB,2/23/94,0,NA,NA,1,35,15,20,NA
CB,2/23/00,0,422,3.37,2.3,41,17,24,0.007985782
CB,2/23/00,0,NA,NA,2.3,41,17,24,NA
CB,2/23/06,0,384,2.79,17.2,37,27,10,0.007265625
CB,2/23/06,0,NA,NA,17.2,37,27,10,NA
CB,2/23/17,0,NA,NA,2.5,29,23,6,NA
CB,2/24/16,0,214,2,9,32,23,9,0.009345794
CB,2/24/16,0,NA,NA,9,32,23,9,NA
CB,2/25/86,0,1000,0.19,27.4,44,34,10,0.00019
CB,2/25/86,0,NA,NA,27.4,44,34,10,NA
CB,2/25/92,0,359,0,29,36,31,5,0
CB,2/25/93,0,1178,0.63,8.9,44.5,32.5,12,0.000534805
CB,2/25/93,0,NA,NA,8.9,44.5,32.5,12,NA
CB,2/25/99,0,453,0,15,40,40,0,0
CB,2/25/99,0,NA,NA,15,40,40,0,NA
CB,2/25/08,0,1202,1.9,20.9,42,24,18,0.001580699
CB,2/26/85,0,680,36,16.5,35,9,26,0.052941176
CB,2/26/85,0,NA,NA,16.5,35,9,26,NA
CB,2/27/90,0,NA,NA,19.2,46,30,16,NA
CB,2/27/90,0,NA,NA,19.2,46,30,16,NA
CB,2/27/04,0,1182,2.76,7.8,53,29,24,0.002335025
CB,2/27/04,0,NA,NA,7.8,53,29,24,NA
CB,2/28/05,0,NA,NA,25.2,45,19,26,NA
CB,2/29/88,0,530,1.73,9.6,48,43.5,4.5,0.003264151
CB,2/29/88,0,NA,NA,9.6,48,43.5,4.5,NA
CB,3/1/01,0,801,1.87,17,40,34,6,0.002334582
CB,3/6/15,0,994,0.56,28,30,24,6,0.00056338
CB,3/6/15,0,NA,NA,28,30,24,6,NA
CB,3/17/98,0,788,12.81,9.1,31,20,11,0.016256345
CB,3/17/98,0,NA,NA,9.1,31,20,11,NA
CB,3/17/11,0,325,33.39,0,48,20,28,0.102738462
CB,3/17/11,0,NA,NA,0,48,20,28,NA
CB,3/18/09,0,1371,371.84,0,41,19,22,0.271218089
CB,3/19/87,0,1320,309,0,41,41,0,0.234090909
CB,3/19/87,0,NA,NA,0,41,41,0,NA
CB,3/20/95,0,185,119.6,0,30,30,0,0.646486486
CB,3/22/91,0,243,45.82,0,42,15,27,0.188559671
CB,3/23/93,0,964,3.93,8.6,50,33,17,0.004076763
CB,3/23/93,0,NA,NA,8.6,50,33,17,NA
CB,3/23/15,0,1559,385.02,0,25,19,6,0.246966004
CB,3/23/88,0,470,6.45,4.1,46,41,5,0.013723404
CB,3/24/17,0,NA,NA,0,34,24,10,NA
CB,3/25/83,0,NA,NA,10.3,32,22,10,NA
CB,3/25/83,0,NA,NA,10.3,32,22,10,NA
CB,3/24/08,0,1523,1.79,16.1,52,25,27,0.001175312
CB,3/24/08,0,NA,NA,16.1,52,25,27,NA
CB,3/26/85,0,720,155,0.5,44,18,26,0.215277778
CB,3/26/85,0,NA,NA,0.5,44,18,26,NA
CB,3/25/92,0,1632,138.2,2.9,38,31,7,0.084681373
CB,3/27/06,0,1387,34.61,2.2,42,37,5,0.024953136
CB,3/27/06,0,NA,NA,2.2,42,37,5,NA
CB,3/28/89,0,1150,32,NA,43,21.4,21.6,0.027826087
CB,3/28/89,0,NA,NA,NA,43,21.4,21.6,NA
CB,3/28/90,0,NA,NA,0,30,17,13,NA
CB,3/28/13,0,1236,3.01,9.5,59,29,30,0.002435275
CB,3/29/99,0,1410,118.9,0,40,27,13,0.084326241
CB,3/30/94,0,1450,26.93,13.4,32,10.5,21.5,0.018572414
CB,3/30/94,0,NA,NA,13.4,32,10.5,21.5,NA
CB,3/31/05,0,620,106.61,1.8,39,12,27,0.171951613
CB,3/31/05,0,NA,NA,1.8,39,12,27,NA
CB,3/31/14,0,642,1.37,10.3,55,39,16,0.002133956
CB,4/1/03,0,900,137.6,6.7,31,29,2,0.152888889
CB,4/1/03,0,NA,NA,6.7,31,29,2,NA
CB,4/2/01,0,341,1.41,4.9,44,37,7,0.004134897
CB,4/2/02,0,490,1.37,7,52,45,7,0.002795918
CB,4/2/02,0,NA,NA,7,52,45,7,NA
CB,4/7/82,0,NA,NA,5.9,41.5,32,9.5,NA
CB,4/6/04,0,1544,553.4,0,30,13,17,0.358419689
CB,4/6/04,0,NA,NA,0,30,13,17,NA
CB,4/8/96,0,NA,NA,13.8,64,54,10,NA
CB,4/8/96,0,NA,NA,13.8,64,54,10,NA
CB,4/9/84,0,NA,NA,0,31,20,11,NA
CB,4/9/84,0,NA,NA,0,31,20,11,NA
CB,4/10/97,0,1167,76.8,0,39,39,0,0.065809769
CB,11/12/85,0,116,100,0,3,0,3,0.862068966
CB,11/12/85,0,NA,NA,0,3,0,3,NA
CB,11/16/83,0,NA,NA,NA,3,NA,NA,NA
CB,11/16/83,0,NA,NA,NA,3,NA,NA,NA
CB,12/1/82,0,NA,NA,0,11,0,11,NA
CR,1/5/84,0,NA,NA,13.8,22.8,3.1,19.7,NA
CR,1/7/93,0,617,6.8,11.5,34.5,5.5,29,0.01102107
CR,1/9/06,0,313,4.76,20.2,25,1,24,0.015207668
CR,1/10/85,0,403,19,8,35,6,29,0.047146402
CR,1/10/85,0,NA,NA,8,35,6,29,NA
CR,1/12/94,0,268,1.65,20.1,20,0,20,0.006156716
CR,1/12/11,0,450,12.13,11.5,36,6,30,0.026955556
CR,1/13/92,0,244,3.56,12.9,30,7,23,0.014590164
CR,1/13/95,0,71,17.05,1.7,32.5,1,31.5,0.240140845
CR,1/13/95,0,NA,NA,1.7,32.5,1,31.5,NA
CR,1/13/04,0,409,10.84,6.3,40,8,32,0.026503667
CR,1/13/05,0,281,9.67,4.6,34,2,32,0.034412811
CR,1/13/12,0,332,7.37,14.1,30,2,28,0.022198795
CR,1/13/12,0,NA,NA,14.1,30,2,28,NA
CR,1/14/83,0,NA,NA,27.6,31,3,28,NA
CR,1/14/87,0,490,35,6.1,27,3,24,0.071428571
CR,1/14/87,0,NA,NA,6.1,27,3,24,NA
CR,1/14/91,0,227,6.35,11.7,36,3,33,0.027973568
CR,1/14/98,0,180,0,15.4,28,4,24,0
CR,1/14/03,0,275,64.04,0.4,42,0,42,0.232872727
CR,1/15/86,0,400,7.09,16.7,28,8,20,0.017725
CR,1/15/90,0,1239,10.29,20.1,30,3,27,0.008305085
CR,1/15/02,0,188,6.33,3.7,19,0,19,0.033670213
CR,1/15/10,0,414,16.67,17.4,15,6,9,0.0402657
CR,1/15/10,0,NA,NA,17.4,15,6,9,NA
CR,1/16/13,0,116,19.08,0,23,2,21,0.164482759
CR,1/16/15,0,1087,3.08,28.5,22,8,14,0.002833487
CR,1/17/00,0,128,0,17.8,30,1,29,0
CR,1/18/89,0,215,1.71,24.7,37.5,8,29.5,0.007953488
CR,1/18/17,0,NA,NA,15.4,28,7,21,NA
CR,1/19/88,0,NA,NA,3.8,35,29.5,5.5,NA
CR,1/19/88,0,NA,NA,3.8,35,29.5,5.5,NA
CR,1/19/99,0,682,0,22,29,0,29,0
CR,1/19/99,0,NA,NA,22,29,0,29,NA
CR,1/19/01,0,758,5.11,25.3,19,0,19,0.006741425
CR,1/19/07,0,913,19.11,7.8,28,1,27,0.020930997
CR,1/21/09,0,NA,NA,17.2,43,10,33,NA
CR,1/22/82,0,NA,NA,7.7,49.3,10,39.3,NA
CR,1/23/96,0,418,0,23.3,34,6,28,0
CR,1/23/97,0,818,25.26,5.3,43,27,16,0.030880196
CR,1/29/08,0,145,3.91,15.2,31,10,21,0.026965517
CR,1/29/16,0,743,9.22,13.8,21,4,17,0.012409152
CR,2/4/14,0,723,2.92,34.6,35,7,28,0.004038728
CR,2/4/14,0,NA,NA,34.6,35,7,28,NA
CR,2/13/95,0,406,5.39,8.7,45,2,43,0.013275862
CR,2/14/11,0,1161,17.68,16.1,39,9,30,0.015228252
CR,2/14/11,0,NA,NA,16.1,39,9,30,NA
CR,2/16/98,0,249,28.23,4.5,40,17,23,0.113373494
CR,2/16/05,0,869,25.91,5.7,49,7,42,0.02981588
CR,2/16/06,0,263,7.9,11.5,42,21,21,0.030038023
CR,2/16/17,0,NA,NA,9.8,40,12,28,NA
CR,2/18/97,0,906,5.53,21.8,38,27,11,0.006103753
CR,2/19/90,0,882,2.1,12,49,19,30,0.002380952
CR,2/19/96,0,820,6.84,13.3,57,36,21,0.008341463
CR,2/20/89,0,960,3.2,14.2,43.3,7,36.3,0.003333333
CR,2/20/89,0,NA,NA,14.2,43.3,7,36.3,NA
CR,2/20/01,0,599,9.1,11.3,37,16,21,0.015191987
CR,2/21/83,0,NA,NA,14.6,38.5,8,30.5,NA
CR,2/21/91,0,251,4.88,9.2,45,4,41,0.019442231
CR,2/21/94,0,927,368.5,0,39,10,29,0.397518878
CR,2/21/94,0,NA,NA,0,39,10,29,NA
CR,2/21/00,0,992,7.84,27.3,37,9,28,0.007903226
CR,2/21/00,0,NA,NA,27.3,37,9,28,NA
CR,2/22/99,0,1368,14.51,8,42,13,29,0.010606725
CR,2/22/07,0,930,97.09,4.6,42,3,39,0.104397849
CR,2/23/93,0,880,9.88,12.6,49,14.5,34.5,0.011227273
CR,2/23/10,0,824,18.24,12,39,19,20,0.022135922
CR,2/24/92,0,612,7.02,25.1,36,7,29,0.011470588
CR,2/24/04,0,NA,0.69,46.6,42,7,35,NA
CR,2/24/04,0,NA,NA,46.6,42,7,35,NA
CR,2/24/12,0,169,2.56,12.7,41,10,31,0.015147929
CR,2/25/87,0,975,9.85,16.6,31,4,27,0.010102564
CR,2/25/09,0,372,24.77,4.7,54,14,40,0.066586022
CR,2/25/09,0,NA,NA,4.7,54,14,40,NA
CR,2/25/16,0,544,26.3,2.4,35,15,20,0.048345588
CR,2/26/03,0,994,31.89,9.2,61,0,61,0.032082495
