lakeid,year,sampledate,depth,ph,alk,dic,tic,doc,toc,no2,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,chlor,phaeo
SP,2002,4/23/2002,0,7.29,634,8.73,8.97,3.01,2.91,NA,302,311,11,21,2877,2970,2906,1.29,3.1,1.7
SP,2002,4/23/2002,0,7.28,611,8.66,8.96,2.91,2.92,NA,297,307,11,18,1860,2906,2970,0.76,3.1,1.7
SP,2002,5/7/2002,0,7.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,2.6
SP,2002,5/22/2002,0,7.94,NA,8.19,8.54,3.21,3.4,NA,207,258,3,9,2757,2778,2972,NA,8.5,-4.2
SP,2002,6/5/2002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.2
SP,2002,6/19/2002,0,7.97,NA,8.09,8.06,3.4,3.6,NA,267,302,6,7,2510,2249,2408,0.39,1.1,-0.3
SP,2002,7/3/2002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.5
SP,2002,7/17/2002,0,8.11,NA,8.33,8.36,3.45,3.39,NA,111,126,5,6,2455,2409,2490,0.33,1.2,0
SP,2002,7/30/2002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,-0.2
SP,2002,8/14/2002,0,8.42,655,8.32,8.48,3.75,3.79,NA,268,290,3,9,2428,2332,2332,0.56,1.7,1.4
SP,2002,8/14/2002,0,8.37,650,8.35,8.48,3.67,3.54,NA,227,243,3,6,2428,2251,2414,0.58,1.7,1.4
SP,2002,8/29/2002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,-0.2
SP,2002,9/12/2002,0,8.33,NA,8.42,8.53,3.55,3.52,NA,223,290,1,11,2363,2438,2519,0.52,1.7,0.5
SP,2002,9/12/2002,0,8.19,NA,8.41,8.54,3.48,3.5,NA,252,278,3,7,2427,2438,2519,0.54,1.7,0.5
SP,2002,9/26/2002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-0.7
SP,2002,10/9/2002,0,8.06,NA,1.76,8.04,0.6,3.32,NA,176,247,5,5,2299,2333,2511,1.05,3.6,-0.9
SP,2002,10/24/2002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,0.7
SP,2002,11/7/2002,0,7.39,665,8.66,8.73,3.27,3.12,NA,222,256,5,13,3131,2718,2955,0.91,4.2,0
SP,2002,11/7/2002,0,7.4,661,8.66,8.74,3.28,3.16,NA,218,256,4,10,3067,2797,2955,0.84,4.2,0
SP,2003,1/15/2003,0,7.73,NA,10.79,10.87,3.98,3.9,NA,272,302,3,4,3266,3313,3406,NA,1.4,0
SP,2003,3/6/2003,0,7.7,763,10.32,10.71,4.08,4.14,NA,379,312,7,10,2904,3083,3320,NA,9,0.8
SP,2003,4/2/2003,0,7.79,NA,5.77,6.22,2.42,2.33,NA,175,314,3,20,1518,NA,NA,NA,16.2,7.3
SP,2003,4/2/2003,0,7.66,NA,5.74,5.97,2.43,2.3,NA,170,286,3,20,1578,NA,NA,NA,16.2,7.3
SP,2003,4/29/2003,0,7.5,640,8.61,8.81,3.24,3.13,NA,401,428,9,10,2603,NA,NA,0.99,3.4,0.1
SP,2003,5/14/2003,0,7.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,6.1
SP,2003,5/30/2003,0,8.06,NA,8.01,8.07,3.49,3.42,NA,193,274,6,7,2371,NA,NA,NA,2.1,0.1
SP,2003,5/30/2003,0,8.05,NA,8.17,8.28,3.62,3.54,NA,226,269,5,8,2584,NA,NA,NA,2.1,0.1
SP,2003,6/9/2003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,-0.7
SP,2003,6/23/2003,0,7.99,NA,7.94,8.02,3.94,3.97,NA,184,256,3,4,2318,NA,NA,0.4,1.1,0.1
SP,2003,7/7/2003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.9
SP,2003,7/21/2003,0,7.94,NA,8.26,8.32,3.61,3.54,NA,172,195,2,3,2106,NA,NA,0.47,2.2,-0.3
SP,2003,8/4/2003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,-1.5
SP,2003,8/20/2003,0,8.33,643,8.35,8.35,3.97,3.79,NA,186,213,3,4,1890,NA,NA,0.35,1.1,-0.3
SP,2003,9/3/2003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.2
