lakeid,year,group,sampledate,depth,from group,at zero,phaeo,depth integrated
SP,2001,iceon surface,1/22/2001,0,5.5,5.5,0.3,1.966666667
SP,2001,iceon depth,1/22/2001,0,1.966666667,,0.3,1.966666667
SP,2001,iceon surface,2/28/2001,0,1.9,1.9,0.5,1.105555556
SP,2001,iceon depth,2/28/2001,0,1.105555556,,0.5,1.105555556
SP,2001,iceon surface,4/3/2001,0,3,3,-1.1,2.172222222
SP,2001,iceon depth,4/3/2001,0,2.172222222,,-1.1,2.172222222
SP,2001,iceoff surface,4/30/2001,0,14.3,14.3,-3.4,10.06666667
SP,2001,iceoff depth,4/30/2001,0,10.06666667,,-3.4,10.06666667
SP,2001,iceoff surface,5/14/2001,0,1.9,1.9,0.6,3.288888889
SP,2001,iceoff depth,5/14/2001,0,3.288888889,,0.6,3.288888889
SP,2001,iceoff surface,5/29/2001,0,0.5,0.5,0,3.327777778
SP,2001,iceoff depth,5/29/2001,0,3.327777778,,0,3.327777778
SP,2001,iceoff surface,6/11/2001,0,1.7,1.7,-0.6,5.483333333
SP,2001,iceoff depth,6/11/2001,0,5.483333333,,-0.6,5.483333333
SP,2001,iceoff surface,6/26/2001,0,1.1,1.1,1,3.072222222
SP,2001,iceoff depth,6/26/2001,0,3.072222222,,1,3.072222222
SP,2001,iceoff surface,7/9/2001,0,0.7,0.7,0.2,3.666666667
SP,2001,iceoff depth,7/9/2001,0,3.666666667,,0.2,3.666666667
SP,2001,iceoff surface,7/24/2001,0,0.9,0.9,0.1,4.027777778
SP,2001,iceoff depth,7/24/2001,0,4.027777778,,0.1,4.027777778
SP,2001,iceoff surface,8/6/2001,0,0.7,0.7,0.1,2.577777778
SP,2001,iceoff depth,8/6/2001,0,2.577777778,,0.1,2.577777778
SP,2001,iceoff surface,8/20/2001,0,1,1,-0.1,1.622222222
SP,2001,iceoff depth,8/20/2001,0,1.622222222,,-0.1,1.622222222
SP,2001,iceoff surface,9/4/2001,0,1.1,1.1,0.2,1.883333333
SP,2001,iceoff depth,9/4/2001,0,1.883333333,,0.2,1.883333333
SP,2001,iceoff surface,9/18/2001,0,1.4,1.4,0.5,1.711111111
SP,2001,iceoff depth,9/18/2001,0,1.711111111,,0.5,1.711111111
SP,2001,iceoff surface,10/2/2001,0,0.9,0.9,0.7,1.305555556
SP,2001,iceoff depth,10/2/2001,0,1.305555556,,0.7,1.305555556
SP,2001,iceoff surface,10/15/2001,0,2,2,0.3,2.483333333
SP,2001,iceoff depth,10/15/2001,0,2.483333333,,0.3,2.483333333
SP,2001,iceoff surface,10/29/2001,0,2.4,2.4,0.9,1.977777778
SP,2001,iceoff depth,10/29/2001,0,1.977777778,,0.9,1.977777778
SP,2001,iceoff surface,11/15/2001,0,3.2,3.2,0.3,3.1
SP,2001,iceoff depth,11/15/2001,0,3.1,,0.3,3.1
SP,2002,iceon surface,1/16/2002,0,0.3,0.3,0.7,0.322222222
SP,2002,iceon depth,1/16/2002,0,0.322222222,,0.7,0.322222222
SP,2002,iceon surface,2/28/2002,0,-0.1,-0.1,0.4,0.111111111
SP,2002,iceon depth,2/28/2002,0,0.111111111,,0.4,0.111111111
SP,2002,iceon surface,4/1/2002,0,4.1,4.1,1.1,1.744444444
SP,2002,iceon depth,4/1/2002,0,1.744444444,,1.1,1.744444444
SP,2002,iceon surface,4/23/2002,0,2.9,2.9,2.1,2.366666667
SP,2002,iceon depth,4/23/2002,0,2.366666667,,2.1,2.366666667
SP,2002,iceoff surface,5/7/2002,0,5.3,5.3,2.6,5.461111111
SP,2002,iceoff depth,5/7/2002,0,5.461111111,,2.6,5.461111111
SP,2002,iceoff surface,5/22/2002,0,8.5,8.5,-4.2,5.438888889
SP,2002,iceoff depth,5/22/2002,0,5.438888889,,-4.2,5.438888889
SP,2002,iceoff surface,6/5/2002,0,0.7,0.7,1.2,4.383333333
SP,2002,iceoff depth,6/5/2002,0,4.383333333,,1.2,4.383333333
SP,2002,iceoff surface,6/19/2002,0,1.1,1.1,-0.3,2.55
SP,2002,iceoff depth,6/19/2002,0,2.55,,-0.3,2.55
SP,2002,iceoff surface,7/3/2002,0,0.6,0.6,1.5,2.066666667
SP,2002,iceoff depth,7/3/2002,0,2.066666667,,1.5,2.066666667
SP,2002,iceoff surface,7/17/2002,0,1.2,1.2,0,2.41
SP,2002,iceoff depth,7/17/2002,0,2.41,,0,2.41
SP,2002,iceoff surface,7/30/2002,0,2.2,2.2,-0.2,4.25
SP,2002,iceoff depth,7/30/2002,0,4.25,,-0.2,4.25
SP,2002,iceoff surface,8/14/2002,0,1.7,1.7,1.4,2.7
SP,2002,iceoff depth,8/14/2002,0,2.7,,1.4,2.7
SP,2002,iceoff surface,8/29/2002,0,1.7,1.7,-0.2,4.144444444
SP,2002,iceoff depth,8/29/2002,0,4.144444444,,-0.2,4.144444444
SP,2002,iceoff surface,9/12/2002,0,2.2,2.2,-0.5,3.3
SP,2002,iceoff depth,9/12/2002,0,3.3,,-0.5,3.3
SP,2002,iceoff surface,9/26/2002,0,3,3,-0.7,4.388888889
SP,2002,iceoff depth,9/26/2002,0,4.388888889,,-0.7,4.388888889
