
"lakeid","year4","sampledate","depth","chlor","phaeo"
"SP",1984,"1984-09-25",15.00,5.0,1.3
"SP",1984,"1984-09-25",15.00,5.0,1.2
"SP",1984,"1984-09-25",18.00,0.5,18.6
"SP",1984,"1984-10-17",0.00,2.6,-0.7
"SP",1984,"1984-10-17",0.00,2.1,-0.4
"SP",1984,"1984-10-17",3.00,1.1,0.3
"SP",1984,"1984-10-17",5.00,1.8,0.0
"SP",1984,"1984-10-17",8.00,1.6,0.1
"SP",1984,"1984-10-17",10.00,1.6,0.1
"SP",1984,"1984-10-17",12.00,2.1,0.5
"SP",1984,"1984-10-17",15.00,2.1,1.9
"SP",1984,"1984-10-17",16.00,5.4,13.6
"SP",1984,"1984-10-17",18.00,5.8,9.0
"SP",1984,"1984-11-07",0.00,2.0,0.3
"SP",1984,"1984-11-07",3.00,1.8,0.5
"SP",1984,"1984-11-07",5.00,1.8,0.1
"SP",1984,"1984-11-07",8.00,1.7,0.5
"SP",1984,"1984-11-07",10.00,1.7,0.3
"SP",1984,"1984-11-07",10.00,1.8,0.3
"SP",1984,"1984-11-07",12.00,1.7,0.3
"SP",1984,"1984-11-07",15.00,1.6,0.4
"SP",1984,"1984-11-07",18.00,1.7,0.4
"SP",1984,"1984-11-26",0.00,3.3,-0.7
"SP",1984,"1984-11-26",3.00,2.2,0.1
"SP",1984,"1984-11-26",5.00,2.2,0.1
"SP",1984,"1984-11-26",8.00,3.0,-0.5
"SP",1984,"1984-11-26",10.00,2.2,0.1
"SP",1984,"1984-11-26",10.00,2.4,0.2
"SP",1984,"1984-11-26",12.00,2.2,0.2
"SP",1984,"1984-11-26",15.00,2.8,-0.1
"SP",1984,"1984-11-26",18.00,2.9,-0.4
"SP",1985,"1985-01-11",0.00,2.8,-0.1
"SP",1985,"1985-01-11",3.00,2.4,-0.2
"SP",1985,"1985-01-11",5.00,1.2,0.1
