lakeid,year4,sampledate,depth,ph,alk,dic,tic,doc,toc,no2,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm
SP,1998,11/12/98,0,7.33,661,9.18,9.18,3.68,3.52,,219,240,5,12,2918,2632,2632,1.38
SP,1999,1/18/99,0,7.59,,9.6,9.82,3.51,3.38,,258,226,3,10,3068,3207,3207,
SP,1999,2/23/99,0,7.54,731,9.44,9.58,3.44,3.24,,447,576,5,15,3068,3261,3220,
SP,1999,3/24/99,0,8.08,,9.58,9.66,3.64,3.61,,256,295,2,0,3191,3275,3358,
SP,1999,5/4/99,0,8.14,649,8.37,8.61,2.99,2.89,,147,117,4,29,2700,2619,2619,1.11
SP,1999,5/20/99,0,,,,,,,,,,,,,,,
SP,1999,6/2/99,0,8.16,,8.24,8.45,3.34,3.16,,280,325,11,15,2577,2462,2590,0.48
SP,1999,6/16/99,0,,,,,,,,,,,,,,,
SP,1999,7/1/99,0,8.09,,8.29,8.41,3.32,3.36,,136,211,2,4,2555,2569,2634,0.32
SP,1999,7/1/99,0,8.1,,8.38,8.47,3.3,3.67,,131,181,1,4,2491,2700,2700,0.14
SP,1999,7/15/99,0,,,,,,,,,,,,,,,
SP,1999,7/28/99,0,8.17,,7.78,7.86,3.38,3.43,,146,193,0,3,2463,2503,2536,0.18
SP,1999,8/10/99,0,,,,,,,,,,,,,,,
SP,1999,8/10/99,0,,,,,,,,,,,,,,,
SP,1999,8/23/99,0,8.07,619,8.27,8.31,3.66,3.47,,178,223,4,5,2272,2299,2385,0.16
SP,1999,9/9/99,0,,,,,,,,,,,,,,,
SP,1999,9/23/99,0,7.98,,8.3,8.44,3.38,3.47,,169,164,1,3,2526,2155,2284,1.26
SP,1999,10/8/99,0,,,,,,,,,,,,,,,
SP,1999,10/19/99,0,7.55,,8.51,8.58,3.22,3.21,,202,202,4,5,2463,2889,2889,0.66
SP,1999,11/10/99,0,7.54,651,8.57,8.66,3.34,3.27,,212,223,5,9,2545,3156,3245,0.4
SP,2000,1/18/00,0,7.78,,9.44,9.75,4.32,4.25,,291,370,5,13,2943,3166,3072,
SP,2000,2/22/00,0,7.66,709,9.61,9.62,3.21,3.16,,226,282,6,9,2975,3412,3368,
SP,2000,4/6/00,0,7.42,645,8.41,8.77,2.67,2.58,,242,279,2,7,3007,2829,2996,1.04
SP,2000,4/18/00,0,,,,,,,,,,,,,,,
SP,2000,5/2/00,0,8.01,,8.57,8.86,3.58,3.31,,198,218,3,6,2883,3045,2954,0.41
SP,2000,5/2/00,0,7.97,,8.71,8.95,3.61,3.31,,230,232,5,8,2883,3225,2954,0.25
SP,2000,5/17/00,0,,,,,,,,,,,,,,,
SP,2000,5/30/00,0,8.16,,8.48,8.62,3.31,3.22,,171,249,1,4,2947,2954,3135,0.23
SP,2000,6/13/00,0,,,,,,,,,,,,,,,
SP,2000,6/13/00,0,,,,,,,,,,,,,,,
SP,2000,6/27/00,0,7.94,,8.56,8.59,3.46,3.51,,219,214,2,4,2638,2696,2783,0.14
SP,2000,6/27/00,0,8.02,,8.5,8.62,3.36,3.4,,239,254,1,3,2700,2696,2783,0.23
SP,2000,7/12/00,0,,,,,,,,,,,,,,,
SP,2000,7/26/00,0,7.99,,8.4,8.54,3.78,3.93,,193,248,0,3,2138,2101,2396,0.47
SP,2000,8/8/00,0,,,,,,,,,,,,,,,
SP,2000,8/21/00,0,8.36,633,8.2,8.34,4,4.22,,214,191,4,3,2386,2264,2363,0.26
SP,2000,9/6/00,0,,,,,,,,,,,,,,,
SP,2000,9/18/00,0,7.87,,8.45,8.28,4.37,3.95,,205,250,0,4,2223,2238,2403,0.36
SP,2000,10/3/00,0,,,,,,,,,,,,,,,
SP,2000,10/17/00,0,7.64,,8.52,8.53,3.98,4.23,,214,283,7,6,2363,2569,2818,0.18
SP,2000,11/1/00,0,,,,,,,,,,,,,,,
SP,2000,11/16/00,0,7.32,656,9.06,8.95,3.35,3.45,,226,268,3,9,2890,2844,2844,0.78
SP,2001,1/22/01,0,7.77,,9.03,9.38,3.74,3.84,,215,274,5,15,2857,2794,2838,
SP,2001,2/28/01,0,7.7,676,8.62,8.76,3.16,2.93,,293,266,4,14,2790,2706,2706,
SP,2001,2/28/01,0,7.68,672,8.54,8.84,3.19,2.94,,243,297,3,14,3055,2794,3057,
SP,2001,4/3/01,0,7.72,,9.26,9.14,3.73,3.73,,296,350,6,15,2923,3001,3045,
SP,2001,4/30/01,0,7.9,645,8.49,8.8,3.46,3.26,,131,198,4,10,2857,3089,3264,0.68
SP,2001,4/30/01,0,7.91,646,8.26,8.74,3.38,3.44,,117,194,3,8,2923,2913,2913,1.03
SP,2001,5/14/01,0,,,,,,,,,,,,,,,
SP,2001,5/29/01,0,7.92,,8.4,8.11,3.28,3.16,,209,156,1,2,2592,2773,2920,0.06
SP,2001,6/11/01,0,,,,,,,,,,,,,,,
SP,2001,6/26/01,0,8.22,,8.04,8.17,3.44,3.32,,242,215,6,9,2536,2382,2459,0.39
SP,2001,7/9/01,0,,,,,,,,,,,,,,,
SP,2001,7/24/01,0,8.1,,8.4,8.28,3.5,3.53,,153,101,1,1,2649,2701,2701,-0.13
SP,2001,8/6/01,0,,,,,,,,,,,,,,,
SP,2001,8/20/01,0,8.13,655,7.9,7.93,3.43,3.39,,191,219,0,1,2649,2997,2997,0.4
SP,2001,8/20/01,0,,646,7.88,7.96,3.43,3.49,,224,238,0,0,2771,2997,2997,0.4
SP,2001,9/4/01,0,,,,,,,,,,,,,,,
SP,2001,9/18/01,0,8.04,,8.47,8.62,3.38,3.91,,187,217,4,5,2847,2750,2848,0.31
SP,2001,10/2/01,0,,,,,,,,,,,,,,,
SP,2001,10/15/01,0,7.76,,8.45,8.47,3.32,3.19,,227,259,0,0,2588,2701,3073,1.3
SP,2001,10/29/01,0,,,,,,,,,,,,,,,
SP,2001,11/15/01,0,7.54,664,8.96,9.03,3.37,3.32,,188,196,7,11,2959,2825,2911,0.84
SP,2002,1/16/02,0,7.77,,9.33,9.49,3.64,3.41,,372,474,2,6,3057,3065,3065,
SP,2002,2/28/02,0,8.1,705,9.01,9.14,3.35,3.28,,350,327,3,2,3057,3087,3155,
SP,2002,4/1/02,0,8.2,,9.37,9.54,3.39,3.21,,390,423,1,7,2997,3223,3223,
SP,2002,4/23/02,0,7.29,634,8.73,8.97,3.01,2.91,,302,311,11,21,2877,2970,2906,1.29
SP,2002,4/23/02,0,7.28,611,8.66,8.96,2.91,2.92,,297,307,11,18,1860,2906,2970,0.76
SP,2002,5/7/02,0,7.66,,,,,,,,,,,,,,
SP,2002,5/22/02,0,7.94,,8.19,8.54,3.21,3.4,,207,258,3,9,2757,2778,2972,
SP,2002,6/5/02,0,,,,,,,,,,,,,,,
SP,2002,6/19/02,0,7.97,,8.09,8.06,3.4,3.6,,267,302,6,7,2510,2249,2408,0.39
SP,2002,7/3/02,0,,,,,,,,,,,,,,,
SP,2002,7/17/02,0,8.11,,8.33,8.36,3.45,3.39,,111,126,5,6,2455,2409,2490,0.33
SP,2002,7/30/02,0,,,,,,,,,,,,,,,
SP,2002,8/14/02,0,8.42,655,8.32,8.48,3.75,3.79,,268,290,3,9,2428,2332,2332,0.56
SP,2002,8/14/02,0,8.37,650,8.35,8.48,3.67,3.54,,227,243,3,6,2428,2251,2414,0.58
SP,2002,8/29/02,0,,,,,,,,,,,,,,,
SP,2002,9/12/02,0,8.33,,8.42,8.53,3.55,3.52,,223,290,1,11,2363,2438,2519,0.52
SP,2002,9/12/02,0,8.19,,8.41,8.54,3.48,3.5,,252,278,3,7,2427,2438,2519,0.54
SP,2002,9/26/02,0,,,,,,,,,,,,,,,
SP,2002,10/9/02,0,8.06,,1.76,8.04,0.6,3.32,,176,247,5,5,2299,2333,2511,1.05
SP,2002,10/24/02,0,,,,,,,,,,,,,,,
SP,2002,11/7/02,0,7.39,665,8.66,8.73,3.27,3.12,,222,256,5,13,3131,2718,2955,0.91
SP,2002,11/7/02,0,7.4,661,8.66,8.74,3.28,3.16,,218,256,4,10,3067,2797,2955,0.84
SP,2003,1/15/03,0,7.73,,10.79,10.87,3.98,3.9,,272,302,3,4,3266,3313,3406,
SP,2003,3/6/03,0,7.7,763,10.32,10.71,4.08,4.14,,379,312,7,10,2904,3083,3320,
SP,2003,4/2/03,0,7.79,,5.77,6.22,2.42,2.33,,175,314,3,20,1518,,,
SP,2003,4/2/03,0,7.66,,5.74,5.97,2.43,2.3,,170,286,3,20,1578,,,
SP,2003,4/29/03,0,7.5,640,8.61,8.81,3.24,3.13,,401,428,9,10,2603,,,0.99
SP,2003,5/14/03,0,7.74,,,,,,,,,,,,,,
SP,2003,5/30/03,0,8.06,,8.01,8.07,3.49,3.42,,193,274,6,7,2371,,,
SP,2003,5/30/03,0,8.05,,8.17,8.28,3.62,3.54,,226,269,5,8,2584,,,
SP,2003,6/9/03,0,,,,,,,,,,,,,,,
SP,2003,6/23/03,0,7.99,,7.94,8.02,3.94,3.97,,184,256,3,4,2318,,,0.4
SP,2003,7/7/03,0,,,,,,,,,,,,,,,
SP,2003,7/21/03,0,7.94,,8.26,8.32,3.61,3.54,,172,195,2,3,2106,,,0.47
SP,2003,8/4/03,0,,,,,,,,,,,,,,,
SP,2003,8/20/03,0,8.33,643,8.35,8.35,3.97,3.79,,186,213,3,4,1890,,,0.35
SP,2003,9/3/03,0,,,,,,,,,,,,,,,
SP,2003,9/16/03,0,8.12,,8.32,8.33,3.44,3.49,,298,307,4,5,2116,,,0.57
SP,2003,10/1/03,0,,,,,,,,,,,,,,,
SP,2003,10/14/03,0,7.98,,8.74,8.81,3.8,4.05,,285,403,0,5,2060,,,1.13
SP,2003,10/28/03,0,,,,,,,,,,,,,,,
SP,2003,11/13/03,0,7.26,672,7.33,6.92,5.27,5.54,,306,258,3,7,2569,,,0.24
