"lakeid","sampledate","depth","chlor"
"TB","1994-09-08",0,10.5
"TB","1994-09-20",0,21.7
"TB","1994-10-03",0,13.6
"TB","1994-10-18",0,18.2
"TB","1994-11-01",0,17.5
"TB","1994-11-14",0,16
"TB","1995-01-12",0,14.7
"TB","1995-02-14",0,12.5
"TB","1995-03-20",0,7.4
"TB","1995-03-20",0,7.1
"TB","1995-05-16",0,3.8
"TB","1995-05-16",0,3.6
"TB","1995-06-01",0,3.9
"TB","1995-06-13",0,13.3
"TB","1995-06-28",0,9
"TB","1995-07-11",0,6.6
"TB","1995-07-25",0,4.1
"TB","1995-08-08",0,6
"TB","1995-08-08",0,4.2
"TB","1995-08-21",0,4.3
"TB","1995-09-05",0,8.1
"TB","1995-09-19",0,21.9
"TB","1995-10-02",0,10.9
"TB","1995-10-17",0,11.8
"TB","1995-10-17",0,13.7
"TB","1995-11-01",0,14.3
"TB","1995-11-09",0,7.3
"TB","1995-11-09",0,7.6
"TB","1996-01-17",0,1.7
"TB","1996-02-21",0,0.5
"TB","1996-04-02",0,4.2
"TB","1996-05-10",0,11.2
"TB","1996-05-31",0,30
"TB","1996-06-12",0,5.9
"TB","1996-06-24",0,80
"TB","1996-06-24",0,44.7
"TB","1996-07-11",0,11.4
"TB","1996-07-23",0,3.7
"TB","1996-08-06",0,5.2
"TB","1996-08-20",0,6
"TB","1996-09-04",0,4.2
"TB","1996-09-04",0,4.5
"TB","1996-09-17",0,0.6
"TB","1996-10-17",0,4.5
"TB","1996-11-04",0,8.4
"TB","1997-01-21",0,1.1
"TB","1997-02-18",0,1.1
"TB","1997-03-24",0,0.9
"TB","1997-05-05",0,17.5
"TB","1997-05-20",0,15.9
"TB","1997-06-04",0,3.2
"TB","1997-06-19",0,13.4
"TB","1997-07-03",0,10.9
"TB","1997-07-16",0,1.3
"TB","1997-07-28",0,1.2
"TB","1997-08-11",0,2.3
"TB","1997-08-25",0,21.2
"TB","1997-09-10",0,22.3
"TB","1997-09-24",0,25
"TB","1997-10-08",0,-0.4
"TB","1997-10-21",0,4.2
"TB","1997-11-06",0,0.7
"TB","1998-01-19",0,2.6
"TB","1998-02-18",0,2.2
"TB","1998-03-16",0,74.3
"TB","1998-05-06",0,6.4
"TB","1998-05-20",0,5
"TB","1998-06-02",0,5.7
"TB","1998-06-17",0,4.5
"TB","1998-07-01",0,10.1
"TB","1998-07-14",0,4
"TB","1998-07-27",0,15.1
"TB","1998-08-10",0,3.9
"TB","1998-08-27",0,4.2
"TB","1998-09-10",0,69.2
"TB","1998-09-23",0,90.4
"TB","1998-10-06",0,108.4
"TB","1998-10-19",0,17.5
"TB","1998-11-12",0,15.7
"TB","1999-01-22",0,3.1
"TB","1999-02-24",0,0.5
"TB","1999-03-23",0,13.8
"TB","1999-05-06",0,55.1
"TB","1999-05-18",0,20.3
"TB","1999-06-03",0,5.9
"TB","1999-06-03",0,7
"TB","1999-06-14",0,7.8
"TB","1999-06-14",0,8.7
"TB","1999-07-01",0,6.7
"TB","1999-07-12",0,4.9
"TB","1999-07-12",0,5.4
"TB","1999-07-26",0,6.2
"TB","1999-08-11",0,11.9
"TB","1999-08-26",0,10
"TB","1999-09-10",0,67
"TB","1999-09-20",0,96
"TB","1999-10-06",0,10.2
"TB","1999-10-21",0,2.9
"TB","1999-11-04",0,11
"TB","2000-01-27",0,26.8
"TB","2000-02-21",0,1
"TB","2000-04-05",0,34.2
"TB","2000-04-17",0,46.7
"TB","2000-05-03",0,4.4
"TB","2000-05-15",0,31.5
"TB","2000-06-02",0,19.9
"TB","2000-06-12",0,10.8
"TB","2000-06-26",0,5.2
"TB","2000-07-11",0,7.3
"TB","2000-07-25",0,7.7
"TB","2000-07-25",0,7.7
"TB","2000-08-09",0,4.3
"TB","2000-08-23",0,4
"TB","2000-09-05",0,23
"TB","2000-09-05",0,52.7
"TB","2000-09-20",0,148.4
"TB","2000-10-04",0,21.9
"TB","2000-10-17",0,5.2
"TB","2000-10-30",0,45.2
"TB","2000-11-14",0,9.5
"TB","2000-11-14",0,10
"TB","2001-01-24",0,4.7
"TB","2001-02-19",0,1.2
"TB","2001-04-03",0,2.8
"TB","2001-05-01",0,23.4
"TB","2001-05-01",0,28.7
"TB","2001-05-16",0,26.9
"TB","2001-05-30",0,3.3
"TB","2001-06-12",0,20
"TB","2001-06-25",0,7
"TB","2001-06-25",0,5.5
"TB","2001-07-09",0,20.4
"TB","2001-07-23",0,4.9
"TB","2001-08-07",0,3.1
"TB","2001-08-07",0,2.6
"TB","2001-08-21",0,2.2
"TB","2001-09-06",0,33.7
"TB","2001-09-18",0,57.4
"TB","2001-10-01",0,121.5
"TB","2001-10-01",0,81.5
"TB","2001-10-16",0,14.4
"TB","2001-10-30",0,7.9
"TB","2001-11-16",0,27.5
"TB","2001-11-16",0,31.2
"TB","2002-01-17",0,0
"TB","2002-01-17",0,0
"TB","2002-03-06",0,4.2
"TB","2002-03-06",0,5
"TB","2002-04-12",0,8.8
"TB","2002-04-12",0,17.8
"TB","2002-04-24",0,12.6
"TB","2002-04-24",0,8.9
"TB","2002-05-07",0,46.4
"TB","2002-05-22",0,21.5
"TB","2002-06-04",0,31.4
"TB","2002-06-17",0,4.1
"TB","2002-07-01",0,4.7
"TB","2002-07-16",0,5.4
"TB","2002-07-16",0,5.6
"TB","2002-07-31",0,5.3
"TB","2002-08-12",0,9.6
"TB","2002-08-12",0,7.3
"TB","2002-08-27",0,17
"TB","2002-09-10",0,10.9
"TB","2002-09-24",0,130.8
"TB","2002-09-24",0,145.4
"TB","2002-10-07",0,29.7
"TB","2002-10-22",0,10.3
"TB","2002-11-04",0,14.4
"TB","2003-02-04",0,2.3
"TB","2003-02-20",0,41.8
"TB","2003-02-20",0,44.5
"TB","2003-04-02",0,105.5
"TB","2003-05-05",0,29.1
"TB","2003-05-12",0,10.6
"TB","2003-05-12",0,11.8
"TB","2003-05-27",0,5.7
"TB","2003-05-27",0,6.4
"TB","2003-06-12",0,4.9
"TB","2003-06-24",0,13
"TB","2003-07-10",0,10.1
"TB","2003-07-21",0,27.1
"TB","2003-08-05",0,-3.6
"TB","2003-08-20",0,10.2
"TB","2003-09-04",0,14.1
"TB","2003-09-04",0,10.6
"TB","2003-09-19",0,90.4
"TB","2003-09-29",0,85.8
"TB","2003-10-14",0,9.6
"TB","2003-10-27",0,11.6
"TB","2003-10-27",0,10.8
"TB","2003-11-07",0,7.4
"TB","2004-01-21",0,94.1
"TB","2004-02-19",0,9.5
"TB","2004-02-19",0,1.4
