lakeid,sampledate,depth,chlor
TB,1984-08-15,4.00,3.8
TB,1984-08-15,5.00,3.9
TB,1984-08-15,6.00,2.5
TB,1984-08-15,7.00,1.6
TB,1984-09-06,0.00,29.4
TB,1984-09-06,1.00,6.4
TB,1984-09-06,2.00,15.5
TB,1984-09-06,3.00,14.9
TB,1984-09-06,4.00,4.4
TB,1984-09-06,5.00,2.5
TB,1984-09-06,6.00,3.1
TB,1984-09-06,7.00,2.2
TB,1984-09-27,0.00,46.0
TB,1984-09-27,1.00,22.7
TB,1984-09-27,2.00,15.9
TB,1984-09-27,3.00,38.0
TB,1984-09-27,4.00,18.9
TB,1984-09-27,4.00,20.7
TB,1984-09-27,5.00,5.2
TB,1984-09-27,7.00,8.7
TB,1984-10-17,0.00,10.7
TB,1984-10-17,1.00,5.4
TB,1984-10-17,2.00,4.3
TB,1984-10-17,3.00,2.1
TB,1984-10-17,4.00,38.6
TB,1984-10-17,4.00,0.0
TB,1984-10-17,5.00,11.5
TB,1984-10-17,7.00,4.2
TB,1984-11-08,0.00,8.0
TB,1984-11-08,2.00,4.4
TB,1984-11-08,3.00,3.7
TB,1984-11-08,5.00,3.3
TB,1984-11-08,5.00,3.0
TB,1984-11-08,7.00,2.6
TB,1985-01-15,0.00,160.9
TB,1985-01-15,0.00,174.0
TB,1985-01-15,1.00,17.7
TB,1985-01-15,2.00,3.1
TB,1985-01-15,3.00,2.9
TB,1985-01-15,5.00,6.4
TB,1985-01-15,7.00,5.8
TB,1985-02-27,0.00,5.6
TB,1985-02-27,2.00,1.3
TB,1985-02-27,3.00,2.8
TB,1985-02-27,5.00,1.8
TB,1985-02-27,5.00,2.0
TB,1985-02-27,7.00,1.6
TB,1985-03-25,0.00,38.7
TB,1985-03-25,0.00,45.5
TB,1985-03-25,2.00,13.8
TB,1985-03-25,3.00,17.4
TB,1985-03-25,5.00,1.6
TB,1985-03-25,7.00,2.1
TB,1985-04-10,0.00,36.0
TB,1985-04-10,1.00,49.4
TB,1985-04-10,2.00,5.4
TB,1985-04-10,5.00,2.0
TB,1985-04-10,7.00,1.8
TB,1985-04-29,0.00,5.5
TB,1985-04-29,0.00,4.7
TB,1985-04-29,2.00,8.7
TB,1985-04-29,3.00,5.4
TB,1985-04-29,5.00,4.7
TB,1985-04-29,7.00,3.1
TB,1985-05-13,0.00,2.8
TB,1985-05-13,2.00,17.2
TB,1985-05-13,3.00,8.6
TB,1985-05-13,5.00,6.5
TB,1985-05-13,7.00,3.8
