lakeid,year4,sampledate,depth,deck,light,frlight
SP,1982,1982-12-02,11.00,153,1.35,0.009000
SP,1982,1982-12-02,13.00,177,0.82,0.005000
SP,1982,1982-12-02,15.00,171,0.44,0.003000
SP,1982,1982-12-02,17.00,152,0.24,0.002000
SP,1983,1983-01-13,0.00,,,
SP,1983,1983-01-13,2.00,,,
SP,1983,1983-01-13,3.00,,,
SP,1983,1983-01-13,5.00,,,
SP,1983,1983-01-13,7.00,,,
SP,1983,1983-01-13,9.00,,,
SP,1983,1983-01-13,11.00,,,
SP,1983,1983-01-13,13.00,,,
SP,1983,1983-01-13,15.00,,,
SP,1983,1983-01-13,17.00,,,
SP,1983,1983-02-24,0.00,,,
SP,1983,1983-02-24,2.00,,,
SP,1983,1983-02-24,4.00,,,
SP,1983,1983-02-24,6.00,,,
SP,1983,1983-02-24,8.00,,,
SP,1983,1983-02-24,10.00,,,
SP,1983,1983-02-24,12.00,,,
SP,1983,1983-02-24,14.00,,,
SP,1983,1983-02-24,16.00,,,
SP,1983,1983-02-24,18.00,,,
SP,1983,1983-03-28,1.00,,,
SP,1983,1983-03-28,3.00,,,
SP,1983,1983-03-28,5.00,,,
SP,1983,1983-03-28,7.00,,,
SP,1983,1983-03-28,9.00,,,
SP,1983,1983-03-28,11.00,,,
SP,1983,1983-03-28,13.00,,,
SP,1983,1983-03-28,15.00,,,
SP,1983,1983-03-28,17.00,,,
SP,1983,1983-03-28,18.00,,,
SP,1983,1983-05-11,0.00,1570,1350.00,0.860000
SP,1983,1983-05-11,2.00,1540,440.00,0.286000
SP,1983,1983-05-11,4.00,1540,168.00,0.109000
SP,1983,1983-05-11,6.00,1520,67.00,0.044000
SP,1983,1983-05-11,8.00,1530,25.20,0.016000
SP,1983,1983-05-11,10.00,1560,10.70,0.007000
SP,1983,1983-05-11,12.00,1570,4.40,0.003000
SP,1983,1983-05-11,13.00,1560,2.57,0.002000
SP,1983,1983-05-11,15.00,1580,1.00,0.001000
SP,1983,1983-05-11,17.00,1630,0.39,0.000000
SP,1983,1983-05-25,0.00,1750,1575.00,0.900000
SP,1983,1983-05-25,2.00,1800,400.00,0.222000
SP,1983,1983-05-25,4.00,1725,195.00,0.113000
SP,1983,1983-05-25,6.00,1800,110.00,0.061000
SP,1983,1983-05-25,8.00,1750,39.00,0.022000
SP,1983,1983-05-25,10.00,1750,20.05,0.011000
SP,1983,1983-05-25,12.00,1750,9.00,0.005000
SP,1983,1983-05-25,14.00,1750,4.35,0.002000
SP,1983,1983-05-25,15.00,,,
SP,1983,1983-05-25,17.00,1750,1.10,0.001000
SP,1983,1983-05-25,19.00,1750,0.30,0.000000
SP,1983,1983-06-09,1.00,1690,1300.00,0.769000
SP,1983,1983-06-09,3.00,1710,480.00,0.281000
SP,1983,1983-06-09,5.00,1710,245.00,0.143000
SP,1983,1983-06-09,7.00,1710,124.00,0.073000
SP,1983,1983-06-09,9.00,1710,48.00,0.028000
SP,1983,1983-06-09,11.00,1710,12.60,0.007000
SP,1983,1983-06-09,13.00,1710,7.00,0.004000
SP,1983,1983-06-09,15.00,1710,3.25,0.002000
SP,1983,1983-06-09,17.00,1710,0.90,0.001000
SP,1983,1983-06-09,18.00,,,
SP,1983,1983-06-21,1.00,570,280.00,0.491000
SP,1983,1983-06-21,3.00,590,155.00,0.263000
SP,1983,1983-06-21,5.00,590,94.00,0.159000
SP,1983,1983-06-21,7.00,595,52.20,0.088000
SP,1983,1983-06-21,9.00,605,27.90,0.046000
SP,1983,1983-06-21,10.00,,,
SP,1983,1983-06-21,12.00,618,6.00,0.010000
SP,1983,1983-06-21,14.00,620,1.95,0.003000
SP,1983,1983-06-21,16.00,625,0.62,0.001000
SP,1983,1983-06-21,18.00,640,0.18,0.000000
SP,1983,1983-07-08,0.00,1550,1450.00,0.935000
SP,1983,1983-07-08,2.00,1550,750.00,0.484000
SP,1983,1983-07-08,4.00,1550,280.00,0.181000
SP,1983,1983-07-08,5.00,,,
SP,1983,1983-07-08,7.00,1550,125.00,0.081000
SP,1983,1983-07-08,9.00,1550,59.90,0.039000
SP,1983,1983-07-08,11.00,1550,26.50,0.017000
SP,1983,1983-07-08,13.00,1550,13.50,0.009000
SP,1983,1983-07-08,15.00,1550,6.15,0.004000
SP,1983,1983-07-08,17.00,1550,2.30,0.001000
SP,1983,1983-07-08,19.00,1550,0.39,0.000000
SP,1983,1983-07-21,0.00,,,
SP,1983,1983-07-21,2.00,1750,850.00,0.486000
SP,1983,1983-07-21,4.00,1750,470.00,0.269000
SP,1983,1983-07-21,6.00,1750,275.00,0.157000
SP,1983,1983-07-21,8.00,1800,115.00,0.064000
SP,1983,1983-07-21,10.00,1775,60.50,0.034000
SP,1983,1983-07-21,12.00,1775,30.00,0.017000
SP,1983,1983-07-21,14.00,1800,15.80,0.009000
SP,1983,1983-07-21,16.00,1800,7.85,0.004000
SP,1983,1983-07-21,18.00,1800,2.33,0.001000
SP,1983,1983-08-01,0.00,1860,1600.00,0.860000
SP,1983,1983-08-01,2.00,1850,950.00,0.514000
SP,1983,1983-08-01,4.00,1850,470.00,0.254000
SP,1983,1983-08-01,6.00,1870,290.00,0.155000
SP,1983,1983-08-01,8.00,1850,155.00,0.084000
SP,1983,1983-08-01,10.00,1860,67.50,0.036000
SP,1983,1983-08-01,12.00,1850,33.20,0.018000
SP,1983,1983-08-01,14.00,1850,18.60,0.010000
SP,1983,1983-08-01,16.00,1850,10.50,0.006000
SP,1983,1983-08-01,18.00,1850,3.25,0.002000
SP,1983,1983-08-16,0.00,800,610.00,0.763000
SP,1983,1983-08-16,2.00,735,280.00,0.381000
SP,1983,1983-08-16,4.00,740,181.00,0.245000
SP,1983,1983-08-16,6.00,740,119.00,0.161000
SP,1983,1983-08-16,8.00,740,65.90,0.089000
SP,1983,1983-08-16,9.00,720,48.90,0.068000
SP,1983,1983-08-16,11.00,710,24.00,0.034000
SP,1983,1983-08-16,13.00,690,10.80,0.016000
SP,1983,1983-08-16,15.00,670,5.80,0.009000
SP,1983,1983-08-16,17.00,660,2.54,0.004000
SP,1983,1983-09-06,0.00,,,
SP,1983,1983-09-06,2.00,,,
SP,1983,1983-09-06,4.00,,,
SP,1983,1983-09-06,5.00,,,
SP,1983,1983-09-06,7.00,,,
SP,1983,1983-09-06,8.00,,,
SP,1983,1983-09-06,10.00,,,
SP,1983,1983-09-06,12.00,,,
