lakeid,sampledate,depth,chlor.surf
TB,6/14/99,0,7.8
TB,7/1/99,0,6.7
TB,7/12/99,0,4.9
TB,7/26/99,0,6.2
TB,8/11/99,0,11.9
TB,8/26/99,0,10
TB,9/10/99,0,67
TB,9/20/99,0,96
TB,10/6/99,0,10.2
TB,10/21/99,0,2.9
TB,11/4/99,0,11
TB,1/27/00,0,26.8
TB,2/21/00,0,1
TB,4/5/00,0,34.2
TB,4/17/00,0,46.7
TB,5/3/00,0,4.4
TB,5/15/00,0,31.5
TB,6/2/00,0,19.9
TB,6/12/00,0,10.8
TB,6/26/00,0,5.2
TB,7/11/00,0,7.3
TB,7/25/00,0,7.7
TB,8/9/00,0,4.3
TB,8/23/00,0,4
TB,9/5/00,0,23
TB,9/20/00,0,148.4
TB,10/4/00,0,21.9
TB,10/17/00,0,5.2
TB,10/30/00,0,45.2
TB,11/14/00,0,9.5
TB,1/24/01,0,4.7
TB,2/19/01,0,1.2
TB,4/3/01,0,2.8
TB,5/1/01,0,23.4
TB,5/16/01,0,26.9
TB,5/30/01,0,3.3
TB,6/12/01,0,20
TB,6/25/01,0,7
TB,7/9/01,0,20.4
TB,7/23/01,0,4.9
TB,8/7/01,0,3.1
TB,8/21/01,0,2.2
TB,9/6/01,0,33.7
TB,9/18/01,0,57.4
TB,10/1/01,0,121.5
TB,10/16/01,0,14.4
TB,10/30/01,0,7.9
TB,11/16/01,0,27.5
TB,1/17/02,0,0
TB,3/6/02,0,4.2
TB,4/12/02,0,8.8
TB,4/24/02,0,12.6
TB,5/7/02,0,46.4
TB,5/22/02,0,21.5
TB,6/4/02,0,31.4
TB,6/17/02,0,4.1
TB,7/1/02,0,4.7
TB,7/16/02,0,5.4
TB,7/31/02,0,5.3
TB,8/12/02,0,9.6
TB,8/27/02,0,17
TB,9/10/02,0,10.9
TB,9/24/02,0,130.8
TB,10/7/02,0,29.7
TB,10/22/02,0,10.3
TB,11/4/02,0,14.4
TB,2/4/03,0,2.3
TB,2/20/03,0,41.8
TB,4/2/03,0,105.5
TB,5/5/03,0,29.1
TB,5/12/03,0,10.6
TB,5/27/03,0,5.7
TB,6/12/03,0,4.9
TB,6/24/03,0,13
TB,7/10/03,0,10.1
TB,7/21/03,0,27.1
TB,8/5/03,0,-3.6
TB,8/20/03,0,10.2
TB,9/4/03,0,14.1
TB,9/19/03,0,90.4
