lakeid,sampledate,wtemp,o2,o2sat,cond,frlight,chlor.surf,chlor.int,phaeo,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,sampledate.y,avsnow,totice,whiteice,blueice,iceduration,season,bv.datePlus1.x,bv.dateMinus1.x
TB,8/3/83,12.23,2.37,29.8,NA,0.1,1.7,18.76,8.21,4.62,NA,NA,NA,NA,NA,NA,0,NA,113.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,8/17/83,12.1,2.52,30.83,24.56,NA,45.9,23,12.27,4.59,NA,-13.47,NA,NA,NA,NA,0,NA,324.86,NA,NA,9.69,NA,1018.42,NA,NA,NA,0.27,2.2,1.33,0.42,0.17,0.7,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,9/8/83,11.91,1.63,19.25,23.56,0.1,29.6,16.98,27.53,4.57,NA,NA,NA,NA,NA,NA,1.25,NA,234.98,NA,NA,NA,NA,987.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,9/28/83,10.18,3.05,32.28,20.4,0.1,38.9,11.62,17.33,4.55,NA,NA,NA,NA,NA,NA,0.39,NA,148.72,NA,NA,NA,NA,946.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,10/19/83,7.18,4.2,37.77,23.34,0.1,40.6,11.13,7.98,4.46,NA,NA,NA,NA,NA,NA,0,NA,215.19,NA,NA,NA,NA,939.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,11/14/83,3.88,4.03,32.56,23.45,0.09,5.6,5,2.5,4.49,NA,-21.66,NA,NA,NA,NA,0,NA,206.77,NA,NA,8.94,NA,1028,NA,NA,NA,0.29,2.92,1.38,0.43,0.14,0.65,NA,NA,11/14/83,0,2,0,0,156,1,11/15/83,11/13/83
TB,1/3/84,2.76,2.76,21.17,23.98,NA,7.8,3.98,1.49,4.52,NA,NA,NA,NA,NA,NA,4.33,NA,215.42,NA,NA,NA,NA,1084.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/3/84,8.1,35.3,13.2,22.1,156,1,1/4/84,1/2/84
TB,2/28/84,2.68,1.84,13.99,22.91,NA,23.6,5.45,1.37,4.6,NA,5.79,NA,NA,NA,NA,6.54,NA,456.34,NA,NA,40.13,NA,1319.32,NA,NA,NA,0.33,2.7,1.43,0.45,0.19,0.68,NA,NA,2/28/84,2.3,46,22,24,156,1,2/29/84,2/27/84
TB,4/4/84,2.78,3,23,22.77,NA,51.3,15.52,1.36,4.56,NA,NA,NA,NA,NA,NA,7.18,NA,301.57,NA,NA,NA,NA,724.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/4/84,0,46,14,32,156,1,4/5/84,4/3/84
TB,5/8/84,5.39,4.42,38.16,23.27,0.09,23.1,11.97,1.05,4.49,NA,-6.02,NA,NA,NA,NA,1.27,NA,139.38,NA,NA,26.12,NA,752.07,NA,NA,NA,0.27,2.62,1.35,0.41,0.14,0.67,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
